"WEIGHT","LENGTH","LOCATION","COAST","SEASON","SEX"
"288","37.1","MARAETAI","EAST","SUMMER","MALE"
"256","36.3","MARAETAI","EAST","WINTER","FEMALE"
"277","39.1","MARAETAI","EAST","WINTER","MALE"
"289","39.4","MURIWAI","WEST","SUMMER","MALE"
"295","39.1","PIHA","WEST","SUMMER","MALE"
"277","36","MURIWAI","WEST","SUMMER","FEMALE"
"308","42.5","PIHA","WEST","SUMMER","MALE"
"263","37.2","MURIWAI","WEST","WINTER","FEMALE"
"290","38.2","PIHA","WEST","SUMMER","MALE"
"251","35.7","PIHA","WEST","WINTER","FEMALE"
"271","34.2","MARAETAI","EAST","SUMMER","MALE"
"264","33.9","WAITAWA","EAST","SUMMER","FEMALE"
"257","36.3","MARAETAI","EAST","WINTER","FEMALE"
"264","35.3","MURIWAI","WEST","SUMMER","MALE"
"260","37.9","MURIWAI","WEST","WINTER","FEMALE"
"256","37.5","PIHA","WEST","WINTER","MALE"
"253","35.3","MURIWAI","WEST","WINTER","FEMALE"
"273","39.1","PIHA","WEST","SUMMER","FEMALE"
"264","37.9","MARAETAI","EAST","WINTER","MALE"
"278","36.6","WAITAWA","EAST","SUMMER","MALE"
"270","39.2","PIHA","WEST","WINTER","FEMALE"
"250","34.1","WAITAWA","EAST","WINTER","FEMALE"
"270","33.8","MURIWAI","WEST","WINTER","FEMALE"
"256","37.7","MURIWAI","WEST","WINTER","FEMALE"
"273","39.7","WAITAWA","EAST","WINTER","MALE"
"260","38.8","MARAETAI","EAST","WINTER","FEMALE"
"254","34.8","WAITAWA","EAST","WINTER","MALE"
"282","35.7","PIHA","WEST","SUMMER","MALE"
"292","37.5","MARAETAI","EAST","SUMMER","MALE"
"279","34.1","WAITAWA","EAST","SUMMER","MALE"
"277","35.7","MARAETAI","EAST","SUMMER","FEMALE"
"233","35.6","MARAETAI","EAST","WINTER","FEMALE"
"267","35.1","PIHA","WEST","SUMMER","FEMALE"
"264","32.1","MURIWAI","WEST","SUMMER","FEMALE"
"303","38","MURIWAI","WEST","SUMMER","MALE"
"255","32.9","MARAETAI","EAST","WINTER","FEMALE"
"265","37.7","MARAETAI","EAST","WINTER","MALE"
"255","33.9","MARAETAI","EAST","SUMMER","FEMALE"
"267","39.3","PIHA","WEST","SUMMER","FEMALE"
"261","34.2","MARAETAI","EAST","SUMMER","FEMALE"
"295","42.7","WAITAWA","EAST","SUMMER","MALE"
"263","38.8","WAITAWA","EAST","SUMMER","FEMALE"
"270","38.5","WAITAWA","EAST","SUMMER","FEMALE"
"274","34.6","WAITAWA","EAST","SUMMER","FEMALE"
"258","39.1","MURIWAI","WEST","WINTER","MALE"
"287","41.2","MURIWAI","WEST","WINTER","MALE"
"268","36.3","MARAETAI","EAST","WINTER","MALE"
"274","39.2","MARAETAI","EAST","SUMMER","FEMALE"
"279","37.7","PIHA","WEST","SUMMER","FEMALE"
"257","37.6","WAITAWA","EAST","WINTER","FEMALE"
"273","35.6","MARAETAI","EAST","SUMMER","MALE"
"239","41.3","WAITAWA","EAST","WINTER","FEMALE"
"280","40.4","MURIWAI","WEST","WINTER","MALE"
"256","38.3","PIHA","WEST","WINTER","MALE"
"265","36.5","MURIWAI","WEST","WINTER","FEMALE"
"250","37","MARAETAI","EAST","WINTER","FEMALE"
"264","38.1","MURIWAI","WEST","WINTER","FEMALE"
"268","42.5","PIHA","WEST","WINTER","MALE"
"295","39.2","MURIWAI","WEST","SUMMER","MALE"
"272","37.2","WAITAWA","EAST","SUMMER","FEMALE"
"280","37.2","MURIWAI","WEST","SUMMER","FEMALE"
"266","37.4","MARAETAI","EAST","WINTER","MALE"
"276","38.3","WAITAWA","EAST","SUMMER","MALE"
"265","37.3","MARAETAI","EAST","WINTER","MALE"
"278","34.9","WAITAWA","EAST","SUMMER","MALE"
"284","37.7","PIHA","WEST","SUMMER","MALE"
"306","40.2","PIHA","WEST","SUMMER","MALE"
"252","39.6","PIHA","WEST","WINTER","FEMALE"
"289","37.4","MARAETAI","EAST","SUMMER","MALE"
"287","37.1","MURIWAI","WEST","SUMMER","MALE"
"290","36.8","MURIWAI","WEST","WINTER","FEMALE"
"233","35.1","PIHA","WEST","WINTER","FEMALE"
"291","41.6","WAITAWA","EAST","SUMMER","FEMALE"
"271","41.9","WAITAWA","EAST","SUMMER","FEMALE"
"273","37.1","MARAETAI","EAST","SUMMER","FEMALE"
"277","31.2","MURIWAI","WEST","SUMMER","FEMALE"
"275","36","MURIWAI","WEST","WINTER","MALE"
"295","37.4","MURIWAI","WEST","SUMMER","MALE"
"286","36.5","PIHA","WEST","SUMMER","MALE"
"274","40","MURIWAI","WEST","WINTER","MALE"
"281","37","MURIWAI","WEST","SUMMER","FEMALE"
"286","38.2","PIHA","WEST","SUMMER","MALE"
"250","35.3","MARAETAI","EAST","WINTER","FEMALE"
"290","40.1","WAITAWA","EAST","SUMMER","MALE"
"280","37.5","MARAETAI","EAST","SUMMER","MALE"
"254","34.7","MARAETAI","EAST","WINTER","FEMALE"
"275","36.7","WAITAWA","EAST","SUMMER","FEMALE"
"280","37.7","MURIWAI","WEST","SUMMER","FEMALE"
"303","38.1","PIHA","WEST","SUMMER","MALE"
"252","33.9","PIHA","WEST","WINTER","MALE"
"253","35","PIHA","WEST","WINTER","FEMALE"
"268","37.1","PIHA","WEST","WINTER","FEMALE"
"291","39.4","MURIWAI","WEST","SUMMER","FEMALE"
"283","38.1","MURIWAI","WEST","SUMMER","FEMALE"
"271","39.5","MURIWAI","WEST","WINTER","MALE"
"244","36.4","MARAETAI","EAST","WINTER","FEMALE"
"242","34.9","MURIWAI","WEST","WINTER","FEMALE"
"282","41.5","MURIWAI","WEST","WINTER","MALE"
"261","34.9","MARAETAI","EAST","WINTER","MALE"
"285","38.8","MURIWAI","WEST","WINTER","MALE"
"282","36.7","PIHA","WEST","SUMMER","MALE"
"264","39.6","PIHA","WEST","WINTER","FEMALE"
"263","36.8","PIHA","WEST","SUMMER","FEMALE"
"263","35.1","WAITAWA","EAST","SUMMER","FEMALE"
"258","36.7","MARAETAI","EAST","SUMMER","FEMALE"
"268","38","MURIWAI","WEST","WINTER","FEMALE"
"248","35.6","WAITAWA","EAST","WINTER","FEMALE"
"257","35.5","MARAETAI","EAST","WINTER","MALE"
"249","34.5","MURIWAI","WEST","WINTER","FEMALE"
"260","36","PIHA","WEST","WINTER","MALE"
"272","39.9","MARAETAI","EAST","SUMMER","FEMALE"
"271","39.3","MURIWAI","WEST","WINTER","MALE"
"269","37","MURIWAI","WEST","SUMMER","FEMALE"
"267","36.1","MURIWAI","WEST","WINTER","FEMALE"
"278","39.5","WAITAWA","EAST","SUMMER","MALE"
"287","40","MARAETAI","EAST","SUMMER","MALE"
"258","36.2","WAITAWA","EAST","WINTER","FEMALE"
"278","38.1","MARAETAI","EAST","SUMMER","FEMALE"
"267","36.4","PIHA","WEST","SUMMER","FEMALE"
"272","36.7","WAITAWA","EAST","SUMMER","FEMALE"
"244","37.5","PIHA","WEST","WINTER","MALE"
"292","38.1","WAITAWA","EAST","SUMMER","MALE"
"289","41.5","WAITAWA","EAST","SUMMER","MALE"
"295","38.4","WAITAWA","EAST","SUMMER","MALE"
"311","41.1","MURIWAI","WEST","SUMMER","MALE"
"282","38.4","MARAETAI","EAST","SUMMER","FEMALE"
"275","36.1","MURIWAI","WEST","SUMMER","FEMALE"
"286","39.1","WAITAWA","EAST","SUMMER","FEMALE"
"282","36.4","MARAETAI","EAST","SUMMER","FEMALE"
"253","35.7","WAITAWA","EAST","WINTER","FEMALE"
"267","38.7","WAITAWA","EAST","WINTER","FEMALE"
"269","37.5","MARAETAI","EAST","SUMMER","FEMALE"
"262","33.9","WAITAWA","EAST","WINTER","FEMALE"
"281","36.1","WAITAWA","EAST","SUMMER","MALE"
"295","37.2","PIHA","WEST","SUMMER","MALE"
"269","34.7","MURIWAI","WEST","SUMMER","FEMALE"
"286","37.5","PIHA","WEST","SUMMER","MALE"
"243","38.1","PIHA","WEST","WINTER","FEMALE"
"287","36.5","MARAETAI","EAST","SUMMER","MALE"
"275","37.3","PIHA","WEST","SUMMER","FEMALE"
"233","36.5","MARAETAI","EAST","WINTER","FEMALE"
"300","35.8","WAITAWA","EAST","SUMMER","MALE"
"243","36.9","MARAETAI","EAST","WINTER","FEMALE"
"273","40.7","MURIWAI","WEST","SUMMER","FEMALE"
"270","38.3","MURIWAI","WEST","WINTER","FEMALE"
"262","37","MARAETAI","EAST","WINTER","FEMALE"
"287","38","MURIWAI","WEST","SUMMER","FEMALE"
"286","36.4","PIHA","WEST","SUMMER","MALE"
"306","40.1","MARAETAI","EAST","SUMMER","MALE"
"252","36","MURIWAI","WEST","SUMMER","FEMALE"
"260","32.4","PIHA","WEST","SUMMER","FEMALE"
"274","39.1","PIHA","WEST","WINTER","MALE"
"277","32.5","MURIWAI","WEST","SUMMER","FEMALE"
"261","37.6","WAITAWA","EAST","WINTER","FEMALE"
"241","34.2","MURIWAI","WEST","WINTER","FEMALE"
"268","33.6","MURIWAI","WEST","SUMMER","FEMALE"
"256","40","MURIWAI","WEST","WINTER","FEMALE"
"267","37.7","WAITAWA","EAST","WINTER","MALE"
"248","32.2","MARAETAI","EAST","WINTER","FEMALE"
"273","40.4","PIHA","WEST","SUMMER","FEMALE"
"265","37.2","MARAETAI","EAST","WINTER","MALE"
"299","40","MARAETAI","EAST","SUMMER","MALE"
"261","37.5","PIHA","WEST","WINTER","MALE"
"263","35.7","PIHA","WEST","WINTER","MALE"
"277","34.2","PIHA","WEST","SUMMER","FEMALE"
"262","33.7","WAITAWA","EAST","WINTER","MALE"
"311","41.8","WAITAWA","EAST","SUMMER","MALE"
"283","39.3","MARAETAI","EAST","SUMMER","MALE"
"259","32","PIHA","WEST","WINTER","FEMALE"
"282","35.9","MARAETAI","EAST","SUMMER","MALE"
"251","37.6","WAITAWA","EAST","WINTER","FEMALE"
"289","36.9","MARAETAI","EAST","SUMMER","MALE"
"276","37.3","MURIWAI","WEST","SUMMER","FEMALE"
"259","36.4","MARAETAI","EAST","WINTER","MALE"
"280","39.7","WAITAWA","EAST","SUMMER","FEMALE"
"271","33.2","MARAETAI","EAST","WINTER","MALE"
"270","36.3","MARAETAI","EAST","SUMMER","MALE"
"256","39.7","PIHA","WEST","WINTER","FEMALE"
"297","38.3","WAITAWA","EAST","SUMMER","MALE"
"266","37.2","PIHA","WEST","SUMMER","FEMALE"
"254","39.1","PIHA","WEST","WINTER","FEMALE"
"257","35.8","PIHA","WEST","WINTER","FEMALE"
"299","37","PIHA","WEST","SUMMER","MALE"
"266","37","PIHA","WEST","WINTER","FEMALE"
"283","38.8","MARAETAI","EAST","WINTER","MALE"
"235","35.6","WAITAWA","EAST","WINTER","FEMALE"
"270","38.1","WAITAWA","EAST","WINTER","MALE"
"267","35.3","WAITAWA","EAST","WINTER","MALE"
"232","34","PIHA","WEST","WINTER","FEMALE"
"265","39.1","WAITAWA","EAST","WINTER","MALE"
"264","38.9","PIHA","WEST","SUMMER","FEMALE"
"242","31.7","WAITAWA","EAST","WINTER","FEMALE"
"286","39.1","MURIWAI","WEST","WINTER","MALE"
"253","32","PIHA","WEST","WINTER","FEMALE"
"254","35.3","MARAETAI","EAST","WINTER","FEMALE"
"279","40","MURIWAI","WEST","WINTER","MALE"
"275","38.7","MARAETAI","EAST","SUMMER","FEMALE"
"258","34.7","PIHA","WEST","WINTER","MALE"
"283","36","MARAETAI","EAST","SUMMER","MALE"
"301","38.6","MURIWAI","WEST","SUMMER","MALE"
"275","40.1","MARAETAI","EAST","SUMMER","FEMALE"
"273","39","PIHA","WEST","WINTER","MALE"
"259","36.6","MARAETAI","EAST","WINTER","FEMALE"
"260","32.2","PIHA","WEST","SUMMER","FEMALE"
"290","37.2","MURIWAI","WEST","SUMMER","FEMALE"
"263","36.2","WAITAWA","EAST","SUMMER","FEMALE"
"261","32.6","PIHA","WEST","SUMMER","FEMALE"
"277","39.7","MARAETAI","EAST","SUMMER","MALE"
"254","34.5","MARAETAI","EAST","WINTER","MALE"
"264","36.6","MARAETAI","EAST","SUMMER","FEMALE"
"289","37.5","WAITAWA","EAST","SUMMER","MALE"
"249","33.8","MARAETAI","EAST","WINTER","FEMALE"
"281","38.2","PIHA","WEST","SUMMER","FEMALE"
"257","39.6","MARAETAI","EAST","WINTER","MALE"
"265","31","MARAETAI","EAST","WINTER","FEMALE"
"289","38.9","MURIWAI","WEST","SUMMER","MALE"
"243","32.3","WAITAWA","EAST","WINTER","FEMALE"
"284","35.5","MURIWAI","WEST","SUMMER","MALE"
"253","33.5","PIHA","WEST","WINTER","FEMALE"
"286","35.3","MARAETAI","EAST","SUMMER","FEMALE"
"255","37.7","MURIWAI","WEST","WINTER","FEMALE"
"288","34.9","PIHA","WEST","SUMMER","MALE"
"244","32.2","MARAETAI","EAST","SUMMER","FEMALE"
"303","38.8","MURIWAI","WEST","SUMMER","MALE"
"234","34.2","MARAETAI","EAST","WINTER","FEMALE"
"260","33.1","MURIWAI","WEST","WINTER","FEMALE"
"273","37.7","MARAETAI","EAST","SUMMER","FEMALE"
"277","34.8","PIHA","WEST","SUMMER","FEMALE"
"266","34.9","PIHA","WEST","SUMMER","FEMALE"
"289","39.7","MURIWAI","WEST","SUMMER","MALE"
"250","36.2","MURIWAI","WEST","WINTER","MALE"
"268","36","PIHA","WEST","WINTER","FEMALE"
"282","34.7","WAITAWA","EAST","SUMMER","MALE"
"252","38.1","PIHA","WEST","WINTER","FEMALE"
"292","40","PIHA","WEST","SUMMER","MALE"
"226","34.9","MARAETAI","EAST","WINTER","FEMALE"
"253","37.3","WAITAWA","EAST","WINTER","MALE"
"269","38.6","MARAETAI","EAST","WINTER","MALE"
"280","35.3","MURIWAI","WEST","SUMMER","MALE"
"284","37.9","MARAETAI","EAST","SUMMER","MALE"
"287","40.3","WAITAWA","EAST","SUMMER","MALE"
"258","36.4","WAITAWA","EAST","WINTER","FEMALE"
"285","37.5","MARAETAI","EAST","SUMMER","MALE"
"301","37.1","WAITAWA","EAST","SUMMER","MALE"
"260","41.9","MARAETAI","EAST","WINTER","MALE"
"291","38.1","MARAETAI","EAST","SUMMER","MALE"
"265","37.9","PIHA","WEST","WINTER","FEMALE"
"284","40.6","MARAETAI","EAST","SUMMER","MALE"
"276","35.2","WAITAWA","EAST","SUMMER","FEMALE"
"261","36.2","MARAETAI","EAST","WINTER","FEMALE"
"271","36.9","PIHA","WEST","SUMMER","FEMALE"
"257","37.2","PIHA","WEST","WINTER","FEMALE"
"250","35.3","PIHA","WEST","WINTER","FEMALE"
"254","35.8","WAITAWA","EAST","SUMMER","FEMALE"
"260","38.5","WAITAWA","EAST","WINTER","FEMALE"
"274","35.4","MURIWAI","WEST","WINTER","MALE"
"243","35","MARAETAI","EAST","WINTER","FEMALE"
"304","41.9","MARAETAI","EAST","SUMMER","MALE"
"258","33.4","WAITAWA","EAST","WINTER","MALE"
"270","35.2","MARAETAI","EAST","SUMMER","FEMALE"
"260","37.5","PIHA","WEST","WINTER","FEMALE"
"268","38.2","PIHA","WEST","WINTER","MALE"
"293","41.3","MURIWAI","WEST","SUMMER","FEMALE"
"292","38.1","MURIWAI","WEST","SUMMER","MALE"
"295","36.6","PIHA","WEST","SUMMER","MALE"
"255","39.1","WAITAWA","EAST","WINTER","FEMALE"
"257","38","WAITAWA","EAST","WINTER","MALE"
"259","35.9","WAITAWA","EAST","WINTER","MALE"
"242","32.8","PIHA","WEST","WINTER","FEMALE"
"249","31.1","PIHA","WEST","WINTER","MALE"
"266","36.5","MARAETAI","EAST","WINTER","MALE"
"276","38.2","PIHA","WEST","WINTER","MALE"
"260","33.9","MARAETAI","EAST","WINTER","MALE"
"274","37.4","MARAETAI","EAST","WINTER","MALE"
"283","40.1","MARAETAI","EAST","SUMMER","MALE"
"263","36.2","MURIWAI","WEST","WINTER","MALE"
"285","41.2","PIHA","WEST","SUMMER","FEMALE"
"246","38.3","MURIWAI","WEST","WINTER","FEMALE"
"306","39.7","WAITAWA","EAST","SUMMER","MALE"
"247","36.2","WAITAWA","EAST","WINTER","FEMALE"
"276","34.6","WAITAWA","EAST","SUMMER","FEMALE"
"275","35","MARAETAI","EAST","SUMMER","FEMALE"
"286","36.7","MARAETAI","EAST","SUMMER","MALE"
"255","33.3","WAITAWA","EAST","WINTER","FEMALE"
"249","35.2","MARAETAI","EAST","SUMMER","FEMALE"
"286","35.4","MURIWAI","WEST","SUMMER","MALE"
"277","35.5","WAITAWA","EAST","SUMMER","FEMALE"
"255","35","MARAETAI","EAST","SUMMER","FEMALE"
"292","37.9","PIHA","WEST","SUMMER","MALE"
"252","34.2","MARAETAI","EAST","SUMMER","FEMALE"
"279","40.5","MARAETAI","EAST","WINTER","MALE"
"271","35.6","MARAETAI","EAST","SUMMER","MALE"
"270","35.5","MARAETAI","EAST","WINTER","MALE"
"299","39.3","PIHA","WEST","SUMMER","MALE"
"277","39.1","PIHA","WEST","WINTER","MALE"
"272","37.9","PIHA","WEST","SUMMER","FEMALE"
"287","38.5","PIHA","WEST","SUMMER","MALE"
"267","37.7","MARAETAI","EAST","SUMMER","FEMALE"
"258","37.4","WAITAWA","EAST","WINTER","FEMALE"
"268","35.5","WAITAWA","EAST","SUMMER","FEMALE"
"261","35.9","PIHA","WEST","SUMMER","FEMALE"
"287","38.2","PIHA","WEST","SUMMER","MALE"
"278","37.4","WAITAWA","EAST","WINTER","MALE"
"231","30.8","MARAETAI","EAST","WINTER","FEMALE"
"286","35.5","PIHA","WEST","SUMMER","MALE"
"274","41.5","MURIWAI","WEST","WINTER","MALE"
"272","33.5","PIHA","WEST","SUMMER","FEMALE"
"255","37.4","PIHA","WEST","SUMMER","FEMALE"
"275","39.2","WAITAWA","EAST","WINTER","MALE"
"270","36","MARAETAI","EAST","WINTER","MALE"
"282","37.9","MURIWAI","WEST","SUMMER","FEMALE"
"298","38.1","PIHA","WEST","SUMMER","MALE"
"239","33.6","MARAETAI","EAST","WINTER","FEMALE"
"269","35.2","WAITAWA","EAST","SUMMER","MALE"
"262","36.3","WAITAWA","EAST","SUMMER","FEMALE"
"273","34.3","MURIWAI","WEST","SUMMER","FEMALE"
"264","39.1","WAITAWA","EAST","WINTER","MALE"
"274","35.7","MARAETAI","EAST","SUMMER","FEMALE"
"289","38.6","MURIWAI","WEST","SUMMER","MALE"
"298","39.3","PIHA","WEST","SUMMER","MALE"
"269","36.8","MURIWAI","WEST","SUMMER","MALE"
"279","38","MURIWAI","WEST","WINTER","MALE"
"251","36.8","PIHA","WEST","SUMMER","FEMALE"
"236","31.4","PIHA","WEST","SUMMER","FEMALE"
"299","34.4","MURIWAI","WEST","SUMMER","MALE"
"287","38.2","MURIWAI","WEST","SUMMER","MALE"
"275","37.1","MARAETAI","EAST","SUMMER","FEMALE"
"254","35.6","MARAETAI","EAST","SUMMER","FEMALE"
"252","38.3","WAITAWA","EAST","WINTER","FEMALE"
"262","36.9","PIHA","WEST","WINTER","MALE"
"253","36.7","WAITAWA","EAST","WINTER","FEMALE"
"270","40.4","PIHA","WEST","SUMMER","FEMALE"
"263","39.7","MURIWAI","WEST","WINTER","FEMALE"
"272","42.3","WAITAWA","EAST","WINTER","MALE"
"256","36","MARAETAI","EAST","WINTER","FEMALE"
"251","35","MARAETAI","EAST","WINTER","FEMALE"
"255","35.8","PIHA","WEST","WINTER","FEMALE"
"258","34.5","PIHA","WEST","WINTER","FEMALE"
"232","36.5","PIHA","WEST","WINTER","FEMALE"
"268","36.3","MURIWAI","WEST","SUMMER","FEMALE"
"262","33.5","PIHA","WEST","SUMMER","FEMALE"
"259","35.4","MURIWAI","WEST","WINTER","MALE"
"281","35.2","WAITAWA","EAST","SUMMER","MALE"
"258","41","MARAETAI","EAST","WINTER","FEMALE"
"258","35.8","MARAETAI","EAST","WINTER","MALE"
"293","39.3","MURIWAI","WEST","SUMMER","MALE"
"295","39.3","MURIWAI","WEST","SUMMER","FEMALE"
"264","35.1","MARAETAI","EAST","SUMMER","FEMALE"
"261","37.6","PIHA","WEST","WINTER","MALE"
"266","33","MURIWAI","WEST","SUMMER","FEMALE"
"283","36","PIHA","WEST","SUMMER","MALE"
"271","33.2","MARAETAI","EAST","SUMMER","FEMALE"
"272","42.3","MARAETAI","EAST","WINTER","MALE"
"254","36","MURIWAI","WEST","WINTER","FEMALE"
"298","37.4","MARAETAI","EAST","SUMMER","MALE"
"270","38.1","MARAETAI","EAST","WINTER","MALE"
"274","39.9","WAITAWA","EAST","WINTER","MALE"
"287","40.2","MURIWAI","WEST","WINTER","MALE"
"261","33.6","PIHA","WEST","WINTER","FEMALE"
"267","33","PIHA","WEST","WINTER","MALE"
"289","39","PIHA","WEST","SUMMER","MALE"
"288","39.5","WAITAWA","EAST","SUMMER","MALE"
"273","36.5","MARAETAI","EAST","WINTER","MALE"
"260","36.8","WAITAWA","EAST","WINTER","FEMALE"
"260","40.3","MARAETAI","EAST","WINTER","MALE"
"262","36.1","MURIWAI","WEST","WINTER","MALE"
"275","38.9","WAITAWA","EAST","SUMMER","FEMALE"
"269","39.4","MARAETAI","EAST","SUMMER","FEMALE"
"291","38.7","WAITAWA","EAST","SUMMER","FEMALE"
"273","34.8","MURIWAI","WEST","SUMMER","FEMALE"
"272","32.5","PIHA","WEST","SUMMER","FEMALE"
"305","36.7","MURIWAI","WEST","SUMMER","MALE"
"288","36.6","MURIWAI","WEST","SUMMER","FEMALE"
"229","33.3","MARAETAI","EAST","WINTER","FEMALE"
"299","39.2","MURIWAI","WEST","SUMMER","MALE"
"243","35.6","WAITAWA","EAST","WINTER","FEMALE"
"265","33.3","MURIWAI","WEST","WINTER","MALE"
"259","36.3","MURIWAI","WEST","WINTER","FEMALE"
"275","38.2","WAITAWA","EAST","WINTER","MALE"
"285","40.3","WAITAWA","EAST","SUMMER","FEMALE"
"249","37.9","MARAETAI","EAST","WINTER","MALE"
"280","35.9","MURIWAI","WEST","SUMMER","FEMALE"
"280","36.1","MARAETAI","EAST","SUMMER","MALE"
"279","32","PIHA","WEST","SUMMER","FEMALE"
"299","39.5","PIHA","WEST","SUMMER","MALE"
"258","38.9","WAITAWA","EAST","WINTER","MALE"
"263","37.5","WAITAWA","EAST","WINTER","MALE"
"277","34.7","PIHA","WEST","SUMMER","MALE"
"303","41.5","MURIWAI","WEST","SUMMER","MALE"
"265","31.6","PIHA","WEST","SUMMER","FEMALE"
"297","38.9","MARAETAI","EAST","SUMMER","FEMALE"
"253","34","MARAETAI","EAST","SUMMER","FEMALE"
"279","39.1","WAITAWA","EAST","SUMMER","MALE"
"259","34.2","PIHA","WEST","WINTER","MALE"
"265","38.6","PIHA","WEST","WINTER","MALE"
"271","37.4","WAITAWA","EAST","SUMMER","FEMALE"
"280","37.8","MARAETAI","EAST","WINTER","MALE"
"268","35.1","MARAETAI","EAST","WINTER","MALE"
"285","39.3","MURIWAI","WEST","SUMMER","MALE"
"285","37.9","MARAETAI","EAST","SUMMER","FEMALE"
"272","42.5","MARAETAI","EAST","WINTER","FEMALE"
"258","36.4","WAITAWA","EAST","WINTER","FEMALE"
"265","36.8","MARAETAI","EAST","SUMMER","FEMALE"
"291","38.8","WAITAWA","EAST","SUMMER","MALE"
"265","39","PIHA","WEST","SUMMER","FEMALE"
"282","36.8","WAITAWA","EAST","SUMMER","MALE"
"289","33.9","MURIWAI","WEST","SUMMER","FEMALE"
"298","39.2","MARAETAI","EAST","SUMMER","MALE"
"240","33.2","MARAETAI","EAST","WINTER","FEMALE"
"285","36.4","MARAETAI","EAST","SUMMER","FEMALE"
"288","38.7","WAITAWA","EAST","SUMMER","MALE"
"292","39.2","MURIWAI","WEST","SUMMER","MALE"
"266","38.1","PIHA","WEST","WINTER","FEMALE"
"271","35.2","MURIWAI","WEST","WINTER","MALE"
"271","40.7","MARAETAI","EAST","WINTER","MALE"
"271","38.8","MARAETAI","EAST","WINTER","MALE"
"291","34.4","MURIWAI","WEST","SUMMER","MALE"
"256","37","WAITAWA","EAST","WINTER","MALE"
"256","37","PIHA","WEST","WINTER","MALE"
"264","35.8","WAITAWA","EAST","WINTER","FEMALE"
"249","33.7","MARAETAI","EAST","WINTER","FEMALE"
"273","39","WAITAWA","EAST","WINTER","MALE"
"257","40","MURIWAI","WEST","WINTER","MALE"
"293","42","WAITAWA","EAST","SUMMER","FEMALE"
"291","37.7","PIHA","WEST","SUMMER","FEMALE"
